Index,Date,Tenbin,Minute,Hits,Misses
414,2024-05-16,2030,9,1259,0
415,2024-05-16,2040,0,1302,0
416,2024-05-16,2040,1,1227,0
417,2024-05-16,2040,2,1364,0
418,2024-05-16,2040,3,1300,0
419,2024-05-16,2040,4,1523,0
420,2024-05-16,2040,5,1284,0
421,2024-05-16,2040,6,1221,0
422,2024-05-16,2040,7,1826,0
423,2024-05-16,2040,8,1490,0
424,2024-05-16,2040,9,1288,0
425,2024-05-16,2050,0,1397,0
426,2024-05-16,2050,1,1198,0
427,2024-05-16,2050,2,2218,0
428,2024-05-16,2050,3,1619,0
429,2024-05-16,2050,4,1659,0
430,2024-05-16,2050,5,1581,0
431,2024-05-16,2050,6,1518,0
432,2024-05-16,2050,7,1406,0
433,2024-05-16,2050,8,1427,0
434,2024-05-16,2050,9,1350,0
435,2024-05-16,2100,0,1570,0
436,2024-05-16,2100,1,1507,0
437,2024-05-16,2100,2,1646,0
438,2024-05-16,2100,3,1783,0
439,2024-05-16,2100,4,1761,0
440,2024-05-16,2100,5,1839,0
441,2024-05-16,2100,6,1817,0
442,2024-05-16,2100,7,1854,0
443,2024-05-16,2100,8,1858,0
444,2024-05-16,2100,9,2127,0
445,2024-05-16,2110,0,1604,0
446,2024-05-16,2110,1,1633,0
447,2024-05-16,2110,2,1509,0
448,2024-05-16,2110,3,1369,0
449,2024-05-16,2110,4,1265,0
450,2024-05-16,2110,5,1412,0
451,2024-05-16,2110,6,1436,0
452,2024-05-16,2110,7,1419,0
453,2024-05-16,2110,8,1309,0
454,2024-05-16,2110,9,1204,0
455,2024-05-16,2120,0,1246,0
456,2024-05-16,2120,1,1183,0
457,2024-05-16,2120,2,1254,0
458,2024-05-16,2120,3,1228,0
459,2024-05-16,2120,4,1596,0
460,2024-05-16,2120,5,1413,0
461,2024-05-16,2120,6,1340,0
462,2024-05-16,2120,7,1357,0
463,2024-05-16,2120,8,1609,0
464,2024-05-16,2120,9,1558,0
465,2024-05-16,2130,0,1383,0
466,2024-05-16,2130,1,1482,0
467,2024-05-16,2130,2,1417,0
468,2024-05-16,2130,3,1575,0
469,2024-05-16,2130,4,1446,0
470,2024-05-16,2130,5,1418,0
471,2024-05-16,2130,6,1470,0
472,2024-05-16,2130,7,1624,0
473,2024-05-16,2130,8,1571,0
474,2024-05-16,2130,9,2378,0
475,2024-05-16,2140,0,1592,0
476,2024-05-16,2140,1,1683,0
477,2024-05-16,2140,2,1461,0
478,2024-05-16,2140,3,1265,0
479,2024-05-16,2140,4,1296,0
480,2024-05-16,2140,5,1731,0
481,2024-05-16,2140,6,1436,0
482,2024-05-16,2140,7,1380,0
483,2024-05-16,2140,8,1544,0
484,2024-05-16,2140,9,1501,0
485,2024-05-16,2150,0,1679,0
486,2024-05-16,2150,1,1477,0
487,2024-05-16,2150,2,1518,0
488,2024-05-16,2150,3,1582,0
489,2024-05-16,2150,4,1522,0
490,2024-05-16,2150,5,1484,0
491,2024-05-16,2150,6,2320,0
492,2024-05-16,2150,7,1671,0
493,2024-05-16,2150,8,1775,0
494,2024-05-16,2150,9,1894,0
495,2024-05-16,2200,0,1566,0
496,2024-05-16,2200,1,1689,0
497,2024-05-16,2200,2,1810,0
498,2024-05-16,2200,3,1559,0
499,2024-05-16,2200,4,1485,0
500,2024-05-16,2200,5,1615,0
501,2024-05-16,2200,6,1585,0
502,2024-05-16,2200,7,1613,0
503,2024-05-16,2200,8,1524,0
504,2024-05-16,2200,9,1570,0
505,2024-05-16,2210,0,1813,0
506,2024-05-16,2210,1,1622,0
507,2024-05-16,2210,2,1718,0
508,2024-05-16,2210,3,1921,0
509,2024-05-16,2210,4,2125,0
510,2024-05-16,2210,5,1962,0
511,2024-05-16,2210,6,1862,0
512,2024-05-16,2210,7,2017,0
513,2024-05-16,2210,8,2505,0
514,2024-05-16,2210,9,2222,0
515,2024-05-16,2220,0,1651,0
516,2024-05-16,2220,1,1645,0
517,2024-05-16,2220,2,1471,0
518,2024-05-16,2220,3,1334,0
519,2024-05-16,2220,4,1241,0
520,2024-05-16,2220,5,1043,0
521,2024-05-16,2220,6,1115,0
522,2024-05-16,2220,7,1177,0
523,2024-05-16,2220,8,1225,0
524,2024-05-16,2220,9,1353,0
525,2024-05-16,2230,0,1535,0
526,2024-05-16,2230,1,1446,0
527,2024-05-16,2230,2,1902,0
528,2024-05-16,2230,3,1931,0
529,2024-05-16,2230,4,1855,0
530,2024-05-16,2230,5,1424,0
531,2024-05-16,2230,6,1074,0
532,2024-05-16,2230,7,1227,0
533,2024-05-16,2230,8,1053,0
534,2024-05-16,2230,9,1198,0
