,Date,Tenbin,Minute,Hits,Misses
3,2024-05-19,1200,3,2639,0
4,2024-05-19,1200,4,2726,0
5,2024-05-19,1200,5,2537,0
6,2024-05-19,1200,6,2554,0
7,2024-05-19,1200,7,2549,0
8,2024-05-19,1200,8,2302,0
9,2024-05-19,1200,9,2483,0
0,2024-05-19,1210,0,2248,0
1,2024-05-19,1210,1,2314,0
2,2024-05-19,1210,2,2295,0
3,2024-05-19,1210,3,2305,0
4,2024-05-19,1210,4,2379,0
5,2024-05-19,1210,5,2311,0
6,2024-05-19,1210,6,2343,0
7,2024-05-19,1210,7,2185,0
8,2024-05-19,1210,8,2377,0
9,2024-05-19,1210,9,2230,0
0,2024-05-19,1220,0,2255,0
1,2024-05-19,1220,1,2444,0
2,2024-05-19,1220,2,2257,0
3,2024-05-19,1220,3,2145,0
4,2024-05-19,1220,4,2441,0
5,2024-05-19,1220,5,2349,0
6,2024-05-19,1220,6,2144,0
7,2024-05-19,1220,7,2623,0
8,2024-05-19,1220,8,2228,0
9,2024-05-19,1220,9,2468,0
0,2024-05-19,1230,0,2245,0
1,2024-05-19,1230,1,2216,0
2,2024-05-19,1230,2,2246,0
3,2024-05-19,1230,3,2237,0
4,2024-05-19,1230,4,2400,0
5,2024-05-19,1230,5,2452,0
6,2024-05-19,1230,6,2486,0
7,2024-05-19,1230,7,2533,0
8,2024-05-19,1230,8,2304,0
9,2024-05-19,1230,9,2291,0
0,2024-05-19,1240,0,2449,0
1,2024-05-19,1240,1,2520,0
2,2024-05-19,1240,2,2481,0
3,2024-05-19,1240,3,2630,0
4,2024-05-19,1240,4,3520,0
5,2024-05-19,1240,5,2497,0
6,2024-05-19,1240,6,2425,0
7,2024-05-19,1240,7,2522,0
8,2024-05-19,1240,8,2511,0
9,2024-05-19,1240,9,2591,0
0,2024-05-19,1250,0,2635,0
1,2024-05-19,1250,1,2559,0
2,2024-05-19,1250,2,2432,0
3,2024-05-19,1250,3,2599,0
4,2024-05-19,1250,4,2492,0
5,2024-05-19,1250,5,2357,0
6,2024-05-19,1250,6,2396,0
7,2024-05-19,1250,7,2571,0
8,2024-05-19,1250,8,2382,0
9,2024-05-19,1250,9,2762,0
0,2024-05-19,1300,0,2346,0
1,2024-05-19,1300,1,2504,0
2,2024-05-19,1300,2,2590,0
3,2024-05-19,1300,3,2789,0
4,2024-05-19,1300,4,2711,0
5,2024-05-19,1300,5,2425,0
6,2024-05-19,1300,6,2582,0
7,2024-05-19,1300,7,2536,0
8,2024-05-19,1300,8,2680,0
9,2024-05-19,1300,9,2428,0
0,2024-05-19,1310,0,2681,0
1,2024-05-19,1310,1,2753,0
2,2024-05-19,1310,2,2682,0
3,2024-05-19,1310,3,2643,0
4,2024-05-19,1310,4,2563,0
5,2024-05-19,1310,5,2557,0
6,2024-05-19,1310,6,2663,0
7,2024-05-19,1310,7,2656,0
8,2024-05-19,1310,8,2875,0
9,2024-05-19,1310,9,2493,0
0,2024-05-19,1320,0,2601,0
1,2024-05-19,1320,1,2697,0
2,2024-05-19,1320,2,2856,0
3,2024-05-19,1320,3,2737,0
4,2024-05-19,1320,4,2722,0
5,2024-05-19,1320,5,2683,0
6,2024-05-19,1320,6,2722,0
7,2024-05-19,1320,7,2887,0
8,2024-05-19,1320,8,3756,0
9,2024-05-19,1320,9,2928,0
0,2024-05-19,1330,0,2796,0
1,2024-05-19,1330,1,2724,0
2,2024-05-19,1330,2,2721,0
3,2024-05-19,1330,3,3114,0
4,2024-05-19,1330,4,3617,0
5,2024-05-19,1330,5,2671,0
6,2024-05-19,1330,6,2854,0
